run_name,scenario,agents,task_count,successful_task_count,cleanup_failed_task_count,run_wall_time_seconds,max_task_elapsed_seconds,query_repeat,cpu_load,cpu_core_count,fault_duration,output_dir
missing_r1,missing_only,missing_index,1,1,0,0.001652,0.001652,1,,,1,experiment_runs/20260326-matrix/missing_r1
missing_r5,missing_only,missing_index,1,1,0,0.004709,0.004709,5,,,1,experiment_runs/20260326-matrix/missing_r5
missing_r20,missing_only,missing_index,1,1,0,0.011970,0.011970,20,,,1,experiment_runs/20260326-matrix/missing_r20
cpu_l30,cpu_only,cpu_contention,1,1,0,5.643068,5.643068,,30,1,1,experiment_runs/20260326-matrix/cpu_l30
cpu_l60,cpu_only,cpu_contention,1,1,0,5.733836,5.733836,,60,1,1,experiment_runs/20260326-matrix/cpu_l60
cpu_l95,cpu_only,cpu_contention,1,1,0,10.069236,10.069236,,95,1,1,experiment_runs/20260326-matrix/cpu_l95
combined_l95_r20,combined,"cpu_contention,missing_index",2,2,1,271.050909,271.050909,20,95,1,1,experiment_runs/20260326-matrix/combined_l95_r20
