run_name,scenario,agents,task_type,agent_name,status,elapsed_seconds,query_repeat,cpu_load,cpu_core_count,fault_duration,cleanup_failed,table,column,sql,chaosblade_uid,log,output_dir
missing_r1,missing_only,missing_index,missing_index_query,missing_index,success,0.001652,1,,,1,false,orders,created_at,SELECT COUNT(*) FROM `orders` WHERE `created_at` >= '2024-01-01 00:01:00';,,experiment_runs/20260326-matrix/missing_r1/missing-index-ede8026e.log,experiment_runs/20260326-matrix/missing_r1
missing_r5,missing_only,missing_index,missing_index_query,missing_index,success,0.004709,5,,,1,false,orders,created_at,SELECT COUNT(*) FROM `orders` WHERE `created_at` >= '2024-01-01 00:01:00';,,experiment_runs/20260326-matrix/missing_r5/missing-index-38fbfa28.log,experiment_runs/20260326-matrix/missing_r5
missing_r20,missing_only,missing_index,missing_index_query,missing_index,success,0.011970,20,,,1,false,orders,created_at,SELECT COUNT(*) FROM `orders` WHERE `created_at` >= '2024-01-01 00:01:00';,,experiment_runs/20260326-matrix/missing_r20/missing-index-222815e3.log,experiment_runs/20260326-matrix/missing_r20
cpu_l30,cpu_only,cpu_contention,cpu_contention,cpu_contention,success,5.643068,,30,1,1,false,,,,eb3a493bfb34c18a,experiment_runs/20260326-matrix/cpu_l30/cpu-f20fd078.log,experiment_runs/20260326-matrix/cpu_l30
cpu_l60,cpu_only,cpu_contention,cpu_contention,cpu_contention,success,5.733836,,60,1,1,false,,,,b8116496b5e0b924,experiment_runs/20260326-matrix/cpu_l60/cpu-aebe4fb7.log,experiment_runs/20260326-matrix/cpu_l60
cpu_l95,cpu_only,cpu_contention,cpu_contention,cpu_contention,success,10.069236,,95,1,1,false,,,,2cc993a295e2b67e,experiment_runs/20260326-matrix/cpu_l95/cpu-9daf8daf.log,experiment_runs/20260326-matrix/cpu_l95
combined_l95_r20,combined,"cpu_contention,missing_index",cpu_contention,cpu_contention,success,271.050909,20,95,1,1,true,,,,dd6537055d9e82ab,experiment_runs/20260326-matrix/combined_l95_r20/cpu-7dd2c0be.log,experiment_runs/20260326-matrix/combined_l95_r20
combined_l95_r20,combined,"cpu_contention,missing_index",missing_index_query,missing_index,success,0.014579,20,95,1,1,false,orders,created_at,SELECT COUNT(*) FROM `orders` WHERE `created_at` >= '2024-01-01 00:01:00';,,experiment_runs/20260326-matrix/combined_l95_r20/missing-index-1313a9e1.log,experiment_runs/20260326-matrix/combined_l95_r20
