anomaly_confirmed,baseline_failures,baseline_p95_ms,baseline_qps,comparison_status,confirmation_reason,db_evidence_summary,experiment_id,post_failures,post_p95_ms,post_qps,status,subtype
True,0,145.22258401848376,8.966836603780497,completed,post SQL is slower than baseline control SQL and EXPLAIN shows slow-path evidence,explain captured,E01_missing_index,0,1577.6678330730647,0.7357314225389974,completed,missing_index
False,0,137.5694159651175,7.638953527565639,completed,redundant-index workload did not show enough write overhead compared with the control table,,E02_excessive_index,5,0.0,0.0,executed_but_not_validated,excessive_index
True,0,1.1979580158367753,993.2871767730455,completed,implicit-conversion SQL is slower than the typed control SQL and EXPLAIN captured degraded access,explain captured,E03_implicit_conversion,0,22.143708891235292,45.69360656827265,executed_but_not_validated,implicit_conversion
True,0,1632.2797499597073,0.6436352980507446,completed,the wider join is slower than the two-table control join,explain captured,E04_multi_table_join,0,2056.4437080174685,0.4879561774618324,completed,multi_table_join
False,0,34.274584031663835,33.70467757822647,completed,order-by probe did not show both slowdown and filesort evidence,explain captured,E05_order_by,0,4145.80462500453,0.26114177333782385,executed_but_not_validated,order_by
True,0,1722.31883299537,0.6443981289191174,completed,group-by query is slower than the aggregate control and EXPLAIN shows temporary/filesort work,using temporary,E06_group_by,0,3899.294332950376,0.2828961327982218,executed_but_not_validated,group_by
True,0,2.9345410875976086,600.0690686852948,completed,large-table scan is slower than the point lookup control and EXPLAIN shows scan-heavy access,explain captured,E07_large_table_scan,0,168.91404101625085,5.939965673718392,executed_but_not_validated,large_table_scan
False,0,1168.9449169207364,0.8597927735357075,completed,"post workload changed throughput, but latency did not rise together with it",,E08_single_sql,0,2202.1412500180304,0.7478985724478164,completed,single_sql
False,0,40.05495901219547,14.703003915531925,completed,"post workload changed throughput, but latency did not rise together with it",,E09_overall_workload,0,23.31429102923721,58.71702886156062,completed,overall_workload
True,0,25.571999954991043,16.053513785322362,completed,resource injection succeeded and workload degraded under the same probe,,E10_cpu,0,25.487042032182217,15.684972066346075,completed,cpu
True,0,23.017375031486154,16.27611143317221,completed,io injection succeeded and the workload probe degraded,,E11_io,0,25.869250064715743,16.206578607291547,completed,io
False,0,21.198667003773153,16.21934543713115,environment_blocked,network injection is blocked in the current environment (likely platform or iptables dependency),,E12_network,0,22.624125005677342,16.298320223248382,partial_failure,network
True,0,23.39975000359118,16.374952588558404,completed,memory injection succeeded and the workload probe degraded,,E13_memory,0,23.831250029616058,16.359636194631925,completed,memory
True,0,19.424041034653783,16.366927865931785,completed,disk injection succeeded and the workload probe degraded,,E14_disk,0,20.736749982461333,16.42126942052992,completed,disk
True,0,7.296917028725147,137.0441785295606,completed,the same SQL waited much longer when the row-lock holder was active,,E15_record_lock,,,,completed,record_lock
True,0,2.366458997130394,422.57229101058414,completed,the read probe waited much longer while the WRITE lock was held,,E16_table_lock,,,,completed,table_lock
True,0,28.07137498166412,35.623477676216,completed,the ALTER TABLE probe waited much longer while a metadata lock holder was active,,E17_metadata_lock,,,,completed,metadata_lock
False,0,33.46454200800508,14.5095675475806,completed,backup table creation did not complete or the copied row counts did not match,,E18_database_table_backup,0,38.11154200229794,10.901946080690559,completed,database_table_backup
