category,database,error_count,experiment_id,status,subtype,task_count
slow_sql,dbmags_tpcc_base,1,E01_missing_index,failed,missing_index,0
traffic_surge,dbmags_tpcc_base,1,E08_single_sql,failed,single_sql,0
traffic_surge,dbmags_tpcc_base,1,E09_overall_workload,failed,overall_workload,0
resource_bottleneck,dbmags_tpcc_base,1,E10_cpu,failed,cpu,0
lock_conflict,dbmags_tpcc_copy,1,E15_record_lock,failed,record_lock,0
