anomaly_confirmed,baseline_failures,baseline_p95_ms,baseline_qps,db_evidence_summary,experiment_id,post_failures,post_p95_ms,post_qps,status,subtype
False,,,,planner returned no executable tasks,E01_missing_index,,,,failed,missing_index
False,,,,planner returned no executable tasks,E08_single_sql,,,,failed,single_sql
False,,,,planner returned no executable tasks,E09_overall_workload,,,,failed,overall_workload
False,,,,planner returned no executable tasks,E10_cpu,,,,failed,cpu
False,,,,planner returned no executable tasks,E15_record_lock,,,,failed,record_lock
