run_name,scenario,agents,task_count,successful_task_count,cleanup_failed_task_count,run_wall_time_seconds,max_task_elapsed_seconds,query_repeat,cpu_load,cpu_core_count,fault_duration,openai_available,openai_connected,openai_model,openai_endpoint,openai_error,output_dir
missing_r1,missing_only,missing_index,1,1,0,0.453459,0.453459,1,,,1,true,true,gpt-5.4-nano-2026-03-17,/v1/responses,,experiment_runs/20260407-vectorengine-matrix/missing_r1
missing_r5,missing_only,missing_index,1,1,0,2.089712,2.089712,5,,,1,true,true,gpt-5.4-nano-2026-03-17,/v1/responses,,experiment_runs/20260407-vectorengine-matrix/missing_r5
missing_r20,missing_only,missing_index,1,1,0,8.235350,8.235350,20,,,1,true,true,gpt-5.4-nano-2026-03-17,/v1/responses,,experiment_runs/20260407-vectorengine-matrix/missing_r20
cpu_l30,cpu_only,cpu_contention,1,1,0,6.008218,6.008218,,30,1,1,true,true,gpt-5.4-nano-2026-03-17,/v1/responses,,experiment_runs/20260407-vectorengine-matrix/cpu_l30
cpu_l60,cpu_only,cpu_contention,1,1,0,5.045195,5.045195,,60,1,1,true,true,gpt-5.4-nano-2026-03-17,/v1/responses,,experiment_runs/20260407-vectorengine-matrix/cpu_l60
cpu_l95,cpu_only,cpu_contention,1,1,0,4.874103,4.874103,,95,1,1,true,true,gpt-5.4-nano-2026-03-17,/v1/responses,,experiment_runs/20260407-vectorengine-matrix/cpu_l95
combined_l95_r20,combined,"cpu_contention,missing_index",2,2,0,8.478285,8.478285,20,95,1,1,true,true,gpt-5.4-nano-2026-03-17,/v1/responses,,experiment_runs/20260407-vectorengine-matrix/combined_l95_r20
