category,database,error_count,experiment_id,observed_signals,status,subtype,task_count
slow_sql,dbmags_tpcc_base,0,E02_excessive_index,task=slow-sql-excessive-index; anomaly=excessive_index; executed=true,executed_but_not_validated,excessive_index,1
resource_bottleneck,dbmags_tpcc_base,1,E12_network,task=resource-network; anomaly=network,partial_failure,network,1
resource_bottleneck,dbmags_tpcc_base,0,E14_disk,task=resource-disk; anomaly=disk; executed=true,completed,disk,1
lock_conflict,dbmags_tpcc_copy,0,E15_record_lock,task=lock-record-lock; anomaly=record_lock; executed=true,completed,record_lock,1
lock_conflict,dbmags_tpcc_copy,0,E16_table_lock,task=lock-table-lock; anomaly=table_lock; executed=true,completed,table_lock,1
lock_conflict,dbmags_tpcc_copy,0,E17_metadata_lock,task=lock-metadata-lock; anomaly=metadata_lock; executed=true,completed,metadata_lock,1
database_backup,dbmags_tpcc_copy,0,E18_database_table_backup,task=backup-orders; anomaly=database_table_backup; executed=true,completed,database_table_backup,1
